"","Sample.Type","Bed.number","Strata","Salmonella","n"
"1","Aggregative Swab",1,"1","neg",3
"2","Aggregative Swab",1,"1","pos",1
"3","Aggregative Swab",1,"2","neg",2
"5","Aggregative Swab",2,"1","pos",2
"6","Aggregative Swab",2,"2","neg",2
"7","Aggregative Swab",2,"2","pos",1
"9","Aggregative Swab",3,"2","neg",2
"10","Aggregative Swab",4,"1","neg",1
"11","Aggregative Swab",4,"1","pos",1
"12","Aggregative Swab",5,"1","pos",2
"13","Aggregative Swab",5,"2","pos",2
"14","Aggregative Swab",6,"1","neg",1
"15","Aggregative Swab",6,"1","pos",1
"16","Aggregative Swab",6,"2","pos",2
"17","Produce Sample",1,"1","neg",2
"18","Produce Sample",1,"1","pos",2
"19","Produce Sample",1,"2","neg",2
"20","Produce Sample",2,"1","neg",2
"21","Produce Sample",2,"2","neg",3
"22","Produce Sample",2,"2","pos",1
"23","Produce Sample",3,"2","neg",1
"24","Produce Sample",3,"2","pos",1
"25","Produce Sample",4,"1","neg",1
"26","Produce Sample",4,"1","pos",1
"27","Produce Sample",4,"2","neg",2
"28","Produce Sample",5,"1","neg",1
"29","Produce Sample",5,"1","pos",1
"30","Produce Sample",5,"2","neg",1
"31","Produce Sample",5,"2","pos",1
"32","Produce Sample",6,"1","neg",4
